,education,capital-loss,hours-per-week,race,gender,workclass,educational-num,fnlwgt,age,occupation,capital-gain,marital-status,relationship,income,race,gender,age
2799,Some-college,0,20,White,Male,Private,10,145964,23,Other-service,0,Never-married,Own-child,<=50K,White,Male,23
28546,HS-grad,0,40,Black,Male,Private,9,324372,25,Handlers-cleaners,0,Never-married,Own-child,<=50K,Black,Male,25
40073,Bachelors,0,66,White,Male,Federal-gov,13,75313,40,Prof-specialty,7688,Married-civ-spouse,Husband,>50K,White,Male,40
27822,Bachelors,0,40,White,Male,Local-gov,13,379940,63,Prof-specialty,0,Married-civ-spouse,Husband,>50K,White,Male,63
44271,HS-grad,0,40,White,Male,Private,9,184016,33,Transport-moving,0,Never-married,Not-in-family,<=50K,White,Male,33
1201,10th,0,40,Black,Female,Private,6,169515,49,Machine-op-inspct,0,Never-married,Not-in-family,<=50K,Black,Female,49
27221,Some-college,0,54,White,Female,Private,10,101597,29,Sales,0,Divorced,Unmarried,<=50K,White,Female,29
40474,Bachelors,0,40,White,Male,Private,13,199416,32,Prof-specialty,0,Married-civ-spouse,Husband,<=50K,White,Male,32
46511,HS-grad,0,15,Asian-Pac-Islander,Female,Private,9,178469,20,Other-service,0,Never-married,Own-child,<=50K,Asian-Pac-Islander,Female,20
9971,Assoc-acdm,0,45,White,Male,Self-emp-inc,12,129573,39,Exec-managerial,0,Married-civ-spouse,Husband,<=50K,White,Male,39
5438,HS-grad,0,40,White,Female,Private,9,182590,19,Other-service,0,Never-married,Own-child,<=50K,White,Female,19
13224,9th,0,40,White,Male,Private,5,28297,56,Craft-repair,0,Married-civ-spouse,Husband,<=50K,White,Male,56
36822,HS-grad,2051,38,White,Male,Private,9,195635,52,Machine-op-inspct,0,Married-civ-spouse,Husband,<=50K,White,Male,52
36633,HS-grad,0,50,White,Male,Self-emp-not-inc,9,29054,37,Farming-fishing,0,Married-civ-spouse,Husband,<=50K,White,Male,37
27721,HS-grad,0,35,White,Female,Private,9,174603,67,Exec-managerial,0,Never-married,Not-in-family,<=50K,White,Female,67
6219,9th,0,40,White,Female,?,5,505168,19,?,0,Never-married,Other-relative,<=50K,White,Female,19
1390,1st-4th,0,40,White,Male,Private,2,132853,41,Transport-moving,0,Married-civ-spouse,Husband,<=50K,White,Male,41
45404,Some-college,0,54,White,Male,Private,10,191722,29,Protective-serv,7688,Married-civ-spouse,Husband,>50K,White,Male,29
46876,Bachelors,0,40,White,Female,Private,13,342567,43,Adm-clerical,0,Married-spouse-absent,Unmarried,<=50K,White,Female,43
9557,HS-grad,0,40,White,Male,Private,9,163870,20,Farming-fishing,0,Never-married,Own-child,<=50K,White,Male,20
19963,Some-college,0,50,Black,Male,Private,10,270985,38,Exec-managerial,0,Married-civ-spouse,Husband,<=50K,Black,Male,38
18877,10th,0,40,Black,Female,Private,6,133985,23,Craft-repair,0,Never-married,Own-child,<=50K,Black,Female,23
11282,5th-6th,0,35,White,Male,Private,3,63925,33,Machine-op-inspct,0,Never-married,Not-in-family,<=50K,White,Male,33
29589,Some-college,0,44,White,Male,Private,10,88500,45,Machine-op-inspct,0,Married-civ-spouse,Husband,>50K,White,Male,45
13885,9th,0,50,White,Male,Private,5,130968,63,Transport-moving,0,Divorced,Not-in-family,<=50K,White,Male,63
37452,Assoc-voc,0,35,White,Female,Private,11,217296,30,Adm-clerical,0,Married-civ-spouse,Wife,<=50K,White,Female,30
23110,9th,0,12,White,Male,Private,5,402778,24,Handlers-cleaners,0,Never-married,Own-child,<=50K,White,Male,24
8925,11th,0,40,Other,Male,Private,7,359397,36,Handlers-cleaners,0,Married-civ-spouse,Husband,<=50K,Other,Male,36
19194,Masters,0,40,White,Female,Local-gov,14,131776,30,Adm-clerical,0,Never-married,Not-in-family,<=50K,White,Female,30
39399,Some-college,1602,12,Black,Female,State-gov,10,145651,21,Sales,0,Never-married,Own-child,<=50K,Black,Female,21
20596,Some-college,0,40,White,Male,?,10,275943,56,?,0,Married-civ-spouse,Husband,<=50K,White,Male,56
13634,Some-college,0,40,White,Female,Private,10,82726,39,Sales,0,Married-civ-spouse,Wife,<=50K,White,Female,39
18546,Some-college,0,50,White,Male,Private,10,159549,43,Sales,0,Married-civ-spouse,Husband,>50K,White,Male,43
44099,Some-college,0,55,White,Male,Private,10,158002,32,Machine-op-inspct,0,Never-married,Other-relative,<=50K,White,Male,32
44040,10th,0,15,Black,Female,Private,6,317702,17,Sales,0,Never-married,Own-child,<=50K,Black,Female,17
39911,Assoc-acdm,0,35,Black,Female,Private,12,110279,32,Prof-specialty,0,Divorced,Unmarried,<=50K,Black,Female,32
8681,Some-college,0,40,White,Female,?,10,30840,25,?,0,Divorced,Unmarried,<=50K,White,Female,25
8755,Masters,0,50,White,Female,Local-gov,14,110075,35,Prof-specialty,15024,Married-civ-spouse,Wife,>50K,White,Female,35
22795,Bachelors,0,37,White,Male,Private,13,202496,45,Handlers-cleaners,0,Married-civ-spouse,Husband,<=50K,White,Male,45
42762,HS-grad,0,45,White,Male,Private,9,265192,48,Craft-repair,0,Married-civ-spouse,Husband,<=50K,White,Male,48
15419,Bachelors,0,35,White,Female,Private,13,57408,61,Adm-clerical,0,Divorced,Not-in-family,<=50K,White,Female,61
19944,HS-grad,0,40,White,Male,Private,9,344129,32,Machine-op-inspct,0,Married-civ-spouse,Husband,>50K,White,Male,32
11902,HS-grad,0,45,White,Female,Private,9,30237,27,Sales,0,Married-civ-spouse,Wife,<=50K,White,Female,27
23468,Some-college,0,44,White,Male,Self-emp-not-inc,10,226092,67,Farming-fishing,0,Married-civ-spouse,Husband,<=50K,White,Male,67
26538,HS-grad,0,40,White,Female,Private,9,169037,36,Adm-clerical,0,Never-married,Not-in-family,<=50K,White,Female,36
15846,12th,0,30,White,Male,?,8,246974,17,?,0,Never-married,Own-child,<=50K,White,Male,17
25962,11th,0,65,White,Male,Private,7,252250,38,Machine-op-inspct,0,Divorced,Not-in-family,<=50K,White,Male,38
36599,Bachelors,0,50,White,Male,Private,13,617898,38,Farming-fishing,0,Married-civ-spouse,Husband,<=50K,White,Male,38
48613,HS-grad,0,72,White,Male,Private,9,233777,26,Craft-repair,0,Married-civ-spouse,Husband,<=50K,White,Male,26
20781,11th,0,60,White,Female,?,7,296738,35,?,6849,Separated,Not-in-family,<=50K,White,Female,35
371,7th-8th,0,40,White,Male,Private,4,203217,41,Craft-repair,0,Separated,Not-in-family,<=50K,White,Male,41
30571,Bachelors,0,45,Asian-Pac-Islander,Female,Private,13,143582,21,Prof-specialty,0,Never-married,Own-child,<=50K,Asian-Pac-Islander,Female,21
37892,Assoc-voc,0,40,Asian-Pac-Islander,Female,Private,11,289448,24,Adm-clerical,0,Never-married,Own-child,<=50K,Asian-Pac-Islander,Female,24
16220,HS-grad,0,20,White,Male,Self-emp-not-inc,9,254711,56,Sales,0,Married-civ-spouse,Husband,<=50K,White,Male,56
39219,HS-grad,0,30,White,Female,Private,9,83859,40,Machine-op-inspct,0,Widowed,Own-child,<=50K,White,Female,40
44951,Masters,0,40,Black,Female,Private,14,191777,32,Adm-clerical,0,Never-married,Not-in-family,<=50K,Black,Female,32
18990,HS-grad,0,40,White,Female,Private,9,26248,23,Adm-clerical,0,Never-married,Own-child,<=50K,White,Female,23
39696,HS-grad,0,20,White,Female,?,9,76198,31,?,0,Separated,Own-child,<=50K,White,Female,31
5444,Some-college,0,20,Black,Female,Private,10,163921,72,Adm-clerical,0,Widowed,Unmarried,<=50K,Black,Female,72
6079,Some-college,0,40,Amer-Indian-Eskimo,Female,Local-gov,10,29075,38,Adm-clerical,5013,Married-civ-spouse,Wife,<=50K,Amer-Indian-Eskimo,Female,38
18601,Some-college,0,40,White,Male,Private,10,234633,40,Craft-repair,0,Never-married,Not-in-family,<=50K,White,Male,40
21293,Masters,0,30,Asian-Pac-Islander,Male,State-gov,14,79440,33,Prof-specialty,0,Never-married,Not-in-family,<=50K,Asian-Pac-Islander,Male,33
25488,HS-grad,0,40,White,Female,Private,9,198431,21,Handlers-cleaners,0,Never-married,Not-in-family,<=50K,White,Female,21
7508,Some-college,0,40,Amer-Indian-Eskimo,Male,Local-gov,10,32587,34,Exec-managerial,0,Married-civ-spouse,Husband,<=50K,Amer-Indian-Eskimo,Male,34
16263,Some-college,0,40,White,Male,Private,10,269623,22,Craft-repair,0,Never-married,Own-child,<=50K,White,Male,22
1773,HS-grad,0,40,White,Female,Private,9,141069,49,Adm-clerical,0,Divorced,Other-relative,<=50K,White,Female,49
38047,Some-college,0,40,White,Female,Private,10,179088,37,Adm-clerical,0,Divorced,Not-in-family,<=50K,White,Female,37
12731,HS-grad,0,40,White,Male,Private,9,255252,24,Craft-repair,0,Never-married,Not-in-family,<=50K,White,Male,24
38018,Some-college,2001,40,White,Female,Local-gov,10,102942,21,Other-service,0,Never-married,Not-in-family,<=50K,White,Female,21
15443,10th,0,35,White,Male,Private,6,132859,17,Other-service,0,Never-married,Other-relative,<=50K,White,Male,17
1642,Assoc-acdm,0,60,White,Male,Private,12,44041,39,Adm-clerical,0,Married-spouse-absent,Other-relative,<=50K,White,Male,39
16706,HS-grad,0,60,White,Male,Private,9,133373,25,Transport-moving,0,Married-civ-spouse,Husband,<=50K,White,Male,25
3274,HS-grad,0,40,White,Male,Private,9,178282,56,Craft-repair,0,Widowed,Unmarried,<=50K,White,Male,56
376,Bachelors,1485,40,Asian-Pac-Islander,Female,Private,13,302903,28,Prof-specialty,0,Married-civ-spouse,Wife,<=50K,Asian-Pac-Islander,Female,28
31835,Some-college,0,40,White,Male,Private,10,448626,22,Sales,0,Never-married,Own-child,<=50K,White,Male,22
34273,HS-grad,0,40,White,Female,Private,9,121130,44,Other-service,0,Divorced,Unmarried,<=50K,White,Female,44
27488,Some-college,0,40,White,Male,Private,10,330144,65,Exec-managerial,0,Married-civ-spouse,Husband,<=50K,White,Male,65
31873,Some-college,0,40,White,Male,Private,10,96586,51,Tech-support,0,Married-civ-spouse,Husband,>50K,White,Male,51
48720,Bachelors,0,40,White,Male,Private,13,190273,23,Prof-specialty,0,Never-married,Own-child,<=50K,White,Male,23
15303,10th,0,20,White,Male,Private,6,365745,27,Handlers-cleaners,0,Married-civ-spouse,Husband,<=50K,White,Male,27
2612,HS-grad,0,35,White,Male,?,9,258231,27,?,0,Never-married,Not-in-family,<=50K,White,Male,27
17588,5th-6th,0,40,White,Female,Private,3,202203,26,Adm-clerical,0,Never-married,Own-child,<=50K,White,Female,26
12415,Some-college,0,30,White,Male,Self-emp-not-inc,10,136258,47,Other-service,0,Divorced,Not-in-family,<=50K,White,Male,47
44785,Assoc-acdm,0,40,White,Male,Private,12,173316,43,Craft-repair,0,Divorced,Not-in-family,<=50K,White,Male,43
24264,HS-grad,1848,40,White,Male,Private,9,192982,50,Tech-support,0,Married-civ-spouse,Husband,>50K,White,Male,50
3961,Bachelors,0,50,White,Male,Self-emp-not-inc,13,299119,51,Sales,0,Married-civ-spouse,Husband,>50K,White,Male,51
9086,HS-grad,0,20,White,Male,Private,9,131230,23,Other-service,0,Never-married,Own-child,<=50K,White,Male,23
46851,Some-college,0,40,White,Female,Private,10,124111,25,Adm-clerical,0,Never-married,Own-child,<=50K,White,Female,25
31894,Assoc-voc,0,10,White,Female,Local-gov,11,211129,22,Adm-clerical,0,Never-married,Own-child,<=50K,White,Female,22
31200,Bachelors,0,55,White,Male,Private,13,43387,24,Exec-managerial,0,Married-civ-spouse,Husband,>50K,White,Male,24
30150,HS-grad,0,50,White,Male,Private,9,170730,40,Craft-repair,0,Married-civ-spouse,Husband,<=50K,White,Male,40
19538,HS-grad,1669,50,White,Male,Private,9,207537,31,Craft-repair,0,Divorced,Own-child,<=50K,White,Male,31
8948,HS-grad,0,70,White,Male,Self-emp-not-inc,9,75785,57,Machine-op-inspct,0,Married-civ-spouse,Husband,<=50K,White,Male,57
1980,Prof-school,1887,40,White,Male,Private,15,203967,53,Prof-specialty,0,Married-civ-spouse,Husband,>50K,White,Male,53
8699,Some-college,0,44,White,Male,Self-emp-not-inc,10,77404,49,Sales,0,Married-civ-spouse,Husband,>50K,White,Male,49
1437,Masters,1902,40,White,Female,Federal-gov,14,178074,42,Adm-clerical,0,Married-civ-spouse,Wife,>50K,White,Female,42
14851,9th,0,50,White,Male,Private,5,157887,33,Machine-op-inspct,0,Married-civ-spouse,Husband,<=50K,White,Male,33
36310,Some-college,0,25,White,Female,?,10,34506,22,?,0,Separated,Unmarried,<=50K,White,Female,22
26639,Some-college,0,15,White,Female,Private,10,166758,50,Other-service,0,Divorced,Not-in-family,<=50K,White,Female,50
23949,Some-college,0,40,White,Male,Private,10,160398,23,Handlers-cleaners,0,Married-spouse-absent,Unmarried,<=50K,White,Male,23
37697,Some-college,0,40,White,Male,Local-gov,10,92486,50,Craft-repair,0,Married-civ-spouse,Husband,<=50K,White,Male,50
45388,Some-college,0,70,White,Male,Private,10,212918,33,Tech-support,0,Never-married,Not-in-family,<=50K,White,Male,33
39231,Some-college,0,10,White,Female,Private,10,215232,20,Exec-managerial,0,Never-married,Own-child,<=50K,White,Female,20
12650,Some-college,0,50,White,Male,Private,10,46756,36,Craft-repair,0,Never-married,Not-in-family,<=50K,White,Male,36
7970,Some-college,0,15,Black,Female,?,10,152719,24,?,0,Never-married,Own-child,<=50K,Black,Female,24
24725,Bachelors,0,40,White,Female,State-gov,13,114055,39,Exec-managerial,0,Never-married,Not-in-family,<=50K,White,Female,39
48831,Some-college,0,50,White,Male,Self-emp-not-inc,10,27242,43,Craft-repair,0,Married-civ-spouse,Husband,<=50K,White,Male,43
32824,Prof-school,0,15,White,Male,Self-emp-not-inc,15,162347,62,Prof-specialty,0,Married-civ-spouse,Husband,>50K,White,Male,62
29889,9th,0,40,White,Female,?,5,162104,27,?,0,Never-married,Own-child,<=50K,White,Female,27
27112,Doctorate,0,45,White,Male,Private,16,189623,35,Exec-managerial,0,Married-civ-spouse,Husband,>50K,White,Male,35
40892,Assoc-voc,0,40,White,Female,Private,11,191204,46,Exec-managerial,0,Never-married,Own-child,<=50K,White,Female,46
37778,HS-grad,0,43,White,Male,Private,9,155489,46,Machine-op-inspct,0,Married-civ-spouse,Husband,>50K,White,Male,46
37735,HS-grad,0,40,White,Female,Private,9,105381,47,Sales,0,Divorced,Not-in-family,<=50K,White,Female,47
40006,HS-grad,0,50,White,Male,Private,9,262841,39,Exec-managerial,0,Married-civ-spouse,Husband,>50K,White,Male,39
33176,Bachelors,0,40,White,Male,State-gov,13,40925,58,Exec-managerial,0,Married-civ-spouse,Husband,<=50K,White,Male,58
8771,11th,0,40,White,Male,Private,7,343476,35,Craft-repair,0,Divorced,Unmarried,<=50K,White,Male,35
19340,HS-grad,0,40,White,Male,Private,9,164663,40,Transport-moving,0,Married-civ-spouse,Husband,<=50K,White,Male,40
17396,Assoc-voc,2415,70,White,Male,Self-emp-inc,11,226355,60,Machine-op-inspct,0,Married-civ-spouse,Husband,>50K,White,Male,60
46694,Some-college,0,40,White,Male,Private,10,362883,45,Transport-moving,0,Married-civ-spouse,Husband,<=50K,White,Male,45
16371,Assoc-voc,0,40,White,Male,Private,11,249977,57,Prof-specialty,0,Married-civ-spouse,Husband,<=50K,White,Male,57
24047,HS-grad,0,40,White,Female,Private,9,48882,43,Adm-clerical,0,Divorced,Other-relative,<=50K,White,Female,43
33223,9th,0,40,Black,Male,Private,5,298601,58,Machine-op-inspct,3781,Married-civ-spouse,Husband,<=50K,Black,Male,58
1737,Some-college,0,40,White,Female,State-gov,10,168223,38,Adm-clerical,0,Divorced,Unmarried,<=50K,White,Female,38
46062,Bachelors,0,30,White,Female,Private,13,221167,31,Other-service,0,Widowed,Not-in-family,<=50K,White,Female,31
813,HS-grad,0,40,White,Male,Private,9,198231,61,Craft-repair,0,Married-civ-spouse,Husband,>50K,White,Male,61
25852,Some-college,0,30,White,Female,Local-gov,10,126446,49,Other-service,0,Never-married,Unmarried,<=50K,White,Female,49
21466,Some-college,0,20,White,Male,Private,10,206861,21,Sales,0,Never-married,Own-child,<=50K,White,Male,21
4949,7th-8th,0,40,White,Male,Private,4,373099,61,Craft-repair,0,Married-civ-spouse,Husband,<=50K,White,Male,61
22481,Bachelors,0,40,White,Male,Self-emp-not-inc,13,415847,37,Prof-specialty,0,Married-civ-spouse,Husband,>50K,White,Male,37
15322,HS-grad,0,50,White,Male,Self-emp-not-inc,9,179824,38,Farming-fishing,0,Never-married,Not-in-family,<=50K,White,Male,38
27421,11th,0,30,White,Male,Private,7,190325,18,Craft-repair,0,Never-married,Own-child,<=50K,White,Male,18
36636,HS-grad,0,40,White,Male,Federal-gov,9,32528,37,Adm-clerical,0,Married-civ-spouse,Husband,>50K,White,Male,37
27978,11th,0,40,Black,Female,Private,7,213894,55,Adm-clerical,0,Separated,Unmarried,<=50K,Black,Female,55
24494,Masters,0,45,White,Male,Private,14,108140,37,Exec-managerial,15024,Married-civ-spouse,Husband,>50K,White,Male,37
5878,9th,0,40,White,Female,Private,5,216864,30,Exec-managerial,0,Divorced,Unmarried,<=50K,White,Female,30
10273,Masters,0,45,White,Male,Private,14,178596,52,Craft-repair,0,Married-civ-spouse,Husband,>50K,White,Male,52
14606,Bachelors,0,40,White,Male,Federal-gov,13,144949,31,Adm-clerical,0,Married-civ-spouse,Husband,<=50K,White,Male,31
42847,HS-grad,0,25,Black,Female,?,9,164940,30,?,0,Separated,Unmarried,<=50K,Black,Female,30
22192,Some-college,0,25,White,Male,Private,10,117210,22,Adm-clerical,0,Never-married,Own-child,<=50K,White,Male,22
24016,HS-grad,0,60,White,Male,Self-emp-not-inc,9,179048,49,Sales,0,Married-civ-spouse,Husband,<=50K,White,Male,49
7224,HS-grad,0,50,White,Male,Self-emp-inc,9,186733,27,Exec-managerial,0,Never-married,Not-in-family,<=50K,White,Male,27
47460,HS-grad,0,35,White,Male,Private,9,51262,21,Other-service,0,Never-married,Own-child,<=50K,White,Male,21
18377,Bachelors,0,16,Asian-Pac-Islander,Male,Private,13,125680,26,Prof-specialty,0,Never-married,Not-in-family,<=50K,Asian-Pac-Islander,Male,26
7200,HS-grad,0,40,White,Male,Private,9,202450,30,Craft-repair,0,Divorced,Own-child,<=50K,White,Male,30
43809,12th,0,40,White,Male,Private,8,254293,22,Handlers-cleaners,0,Never-married,Not-in-family,<=50K,White,Male,22
